open,high,low,close,time
68416.75000000,68438.99000000,68241.79000000,68314.93000000,2024-05-31T03:00:00
68314.93000000,68518.86000000,68251.00000000,68352.17000000,2024-05-31T04:00:00
68352.17000000,68465.39000000,68274.00000000,68460.00000000,2024-05-31T05:00:00
68460.01000000,68626.20000000,68314.35000000,68440.00000000,2024-05-31T06:00:00
68439.99000000,68729.73000000,68430.00000000,68539.99000000,2024-05-31T07:00:00
68539.99000000,68628.39000000,68487.95000000,68535.81000000,2024-05-31T08:00:00
68535.81000000,68654.33000000,68486.00000000,68516.59000000,2024-05-31T09:00:00
68516.59000000,68516.59000000,68290.00000000,68442.72000000,2024-05-31T10:00:00
68442.72000000,68456.23000000,68225.52000000,68272.00000000,2024-05-31T11:00:00
68272.00000000,68431.88000000,68075.99000000,68174.99000000,2024-05-31T12:00:00
68175.00000000,68310.90000000,68130.77000000,68136.00000000,2024-05-31T13:00:00
68136.01000000,68184.40000000,67876.00000000,67950.00000000,2024-05-31T14:00:00
67950.00000000,68333.33000000,67930.00000000,68333.33000000,2024-05-31T15:00:00
68333.33000000,68461.00000000,68280.00000000,68349.73000000,2024-05-31T16:00:00
68349.73000000,69044.10000000,68320.77000000,68643.59000000,2024-05-31T17:00:00
68643.59000000,68821.01000000,68025.02000000,68078.34000000,2024-05-31T18:00:00
68078.34000000,68078.34000000,67264.46000000,67501.76000000,2024-05-31T19:00:00
67501.76000000,67548.38000000,67200.00000000,67215.58000000,2024-05-31T20:00:00
67215.58000000,67352.41000000,66670.00000000,67200.01000000,2024-05-31T21:00:00
67200.01000000,67459.66000000,67160.30000000,67342.77000000,2024-05-31T22:00:00
67342.77000000,67444.47000000,67170.00000000,67414.88000000,2024-05-31T23:00:00
67414.88000000,67999.00000000,67342.24000000,67681.00000000,2024-06-01T00:00:00
67681.00000000,67798.00000000,67600.00000000,67709.04000000,2024-06-01T01:00:00
67709.04000000,67710.00000000,67500.00000000,67564.91000000,2024-06-01T02:00:00
67564.91000000,67668.00000000,67509.51000000,67509.52000000,2024-06-01T03:00:00
67509.52000000,67602.60000000,67239.19000000,67540.01000000,2024-06-01T04:00:00
67540.01000000,67703.89000000,67507.39000000,67655.66000000,2024-06-01T05:00:00
67655.66000000,67710.29000000,67428.44000000,67560.00000000,2024-06-01T06:00:00
67560.00000000,67740.00000000,67546.52000000,67729.05000000,2024-06-01T07:00:00
67729.05000000,67757.14000000,67623.24000000,67715.31000000,2024-06-01T08:00:00
67715.31000000,67763.81000000,67656.00000000,67680.01000000,2024-06-01T09:00:00
67680.01000000,67810.00000000,67603.00000000,67686.35000000,2024-06-01T10:00:00
67686.35000000,67729.87000000,67607.94000000,67693.32000000,2024-06-01T11:00:00
67693.32000000,67733.01000000,67575.23000000,67632.08000000,2024-06-01T12:00:00
67632.07000000,67741.06000000,67611.61000000,67704.00000000,2024-06-01T13:00:00
67704.00000000,67760.00000000,67635.00000000,67706.69000000,2024-06-01T14:00:00
67706.69000000,67750.00000000,67627.32000000,67627.33000000,2024-06-01T15:00:00
67627.33000000,67694.00000000,67627.32000000,67660.57000000,2024-06-01T16:00:00
67660.57000000,67872.50000000,67640.00000000,67717.76000000,2024-06-01T17:00:00
67717.76000000,67837.00000000,67714.28000000,67720.01000000,2024-06-01T18:00:00
67720.01000000,67870.00000000,67673.00000000,67803.34000000,2024-06-01T19:00:00
67803.33000000,67824.00000000,67668.01000000,67691.28000000,2024-06-01T20:00:00
67691.28000000,67719.99000000,67612.00000000,67700.01000000,2024-06-01T21:00:00
67700.01000000,67900.00000000,67556.72000000,67791.02000000,2024-06-01T22:00:00
67791.02000000,67821.73000000,67726.32000000,67750.71000000,2024-06-01T23:00:00
67750.70000000,67782.64000000,67685.72000000,67753.76000000,2024-06-02T00:00:00
67753.76000000,67796.54000000,67700.00000000,67796.54000000,2024-06-02T01:00:00
67796.54000000,67820.20000000,67713.23000000,67760.01000000,2024-06-02T02:00:00
67760.01000000,67885.00000000,67710.00000000,67765.40000000,2024-06-02T03:00:00
67765.41000000,67819.78000000,67723.00000000,67766.85000000,2024-06-02T04:00:00
67766.84000000,67910.55000000,67744.00000000,67889.00000000,2024-06-02T05:00:00
67888.99000000,67900.00000000,67710.00000000,67755.00000000,2024-06-02T06:00:00
67755.00000000,67815.00000000,67643.33000000,67733.26000000,2024-06-02T07:00:00
67733.25000000,67807.99000000,67726.31000000,67789.47000000,2024-06-02T08:00:00
67789.48000000,67852.63000000,67745.18000000,67852.62000000,2024-06-02T09:00:00
67852.62000000,67867.60000000,67728.40000000,67728.40000000,2024-06-02T10:00:00
67728.41000000,67852.33000000,67724.60000000,67841.09000000,2024-06-02T11:00:00
67841.09000000,67842.91000000,67720.41000000,67721.00000000,2024-06-02T12:00:00
67721.01000000,67812.57000000,67671.81000000,67750.67000000,2024-06-02T13:00:00
67750.68000000,67772.65000000,67377.79000000,67529.99000000,2024-06-02T14:00:00
67530.00000000,67581.97000000,67367.20000000,67529.99000000,2024-06-02T15:00:00
67530.00000000,68320.08000000,67492.60000000,68251.52000000,2024-06-02T16:00:00
68251.53000000,68305.00000000,67852.24000000,67934.99000000,2024-06-02T17:00:00
67934.99000000,68214.66000000,67800.00000000,68165.98000000,2024-06-02T18:00:00
68165.97000000,68460.00000000,68073.65000000,68252.50000000,2024-06-02T19:00:00
68252.51000000,68297.12000000,68016.19000000,68142.17000000,2024-06-02T20:00:00
68142.18000000,68200.00000000,67980.00000000,68103.63000000,2024-06-02T21:00:00
68103.63000000,68103.64000000,67808.66000000,67879.28000000,2024-06-02T22:00:00
67879.27000000,67879.28000000,67456.88000000,67697.14000000,2024-06-02T23:00:00
67697.14000000,67798.00000000,67257.47000000,67736.95000000,2024-06-03T00:00:00
67736.95000000,67831.21000000,67577.65000000,67831.20000000,2024-06-03T01:00:00
67831.21000000,67902.12000000,67755.00000000,67816.14000000,2024-06-03T02:00:00
67816.13000000,67984.01000000,67809.96000000,67927.99000000,2024-06-03T03:00:00
67928.00000000,67984.01000000,67765.62000000,67765.63000000,2024-06-03T04:00:00
67765.62000000,67873.87000000,67612.48000000,67823.99000000,2024-06-03T05:00:00
67824.00000000,68553.67000000,67823.80000000,68476.01000000,2024-06-03T06:00:00
68476.01000000,68793.97000000,68404.51000000,68416.08000000,2024-06-03T07:00:00
68416.09000000,68518.70000000,68201.00000000,68382.81000000,2024-06-03T08:00:00
68382.80000000,68600.00000000,68285.29000000,68510.00000000,2024-06-03T09:00:00
68510.00000000,68780.00000000,68441.16000000,68700.00000000,2024-06-03T10:00:00
68699.99000000,69221.00000000,68632.01000000,69038.94000000,2024-06-03T11:00:00
69038.94000000,69179.62000000,68804.00000000,68906.70000000,2024-06-03T12:00:00
68906.70000000,69333.00000000,68906.69000000,69142.55000000,2024-06-03T13:00:00
69142.54000000,69187.06000000,68913.72000000,69014.88000000,2024-06-03T14:00:00
69014.89000000,69186.79000000,68876.98000000,68907.99000000,2024-06-03T15:00:00
68908.00000000,69248.99000000,68824.00000000,69080.00000000,2024-06-03T16:00:00
